timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644843965, ,3.2999999523,3.4000000954,3.2000000477,3.7000000477,3.5,5,3.4000000954,0,3.4000000954,5.8000001907,3.2999999523,3,3.5
1644843966, ,3.2999999523,3.4000000954,3.2000000477,3.7000000477,3.5,5,3.4000000954,0,3.4000000954,5.8000001907,3.2999999523,3,3.5
1644843967, ,3.5,3.2999999523,3,3.5,3.4000000954,4.4000000954,3.4000000954,0,3.4000000954,5.8000001907,3.2999999523,3,3.5
1644843968, ,3.5,3.2999999523,3,3.5,3.4000000954,4.4000000954,3.5999999046,0,3.4000000954,5.8000001907,3.2999999523,3,3.5
1644843969, ,3.2999999523,3.4000000954,3.2999999523,3.7000000477,3.4000000954,4.1999998093,3.5999999046,0,3.5,7.5999999046,3.4000000954,3,3.4000000954
1644843970, ,3.2999999523,3.4000000954,3.2999999523,3.7000000477,3.4000000954,4.1999998093,3.5,0,3.5,7.5999999046,3.4000000954,3,3.4000000954
1644843971, ,3.2999999523,3.4000000954,3.2999999523,3.7000000477,3.4000000954,4.1999998093,3.5,0,3.7000000477,5.9000000954,3.4000000954,3.2000000477,3.0999999046
1644843972, ,3.2999999523,3.4000000954,3.2999999523,3.7000000477,3.4000000954,4.1999998093,3.5,0,3.7000000477,5.9000000954,3.4000000954,3.2000000477,3.0999999046
1644843973, ,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.2999999523,4.4000000954,3.4000000954,0,3.7000000477,5.9000000954,3.4000000954,3.2000000477,3.0999999046
1644843974, ,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.2999999523,4.4000000954,3.4000000954,0,3.4000000954,6.8000001907,3.4000000954,3,3.5999999046
1644843975, ,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.2999999523,4.4000000954,3.4000000954,0,3.4000000954,6.8000001907,3.4000000954,3,3.5999999046
1644843976, ,3.5,3.2999999523,3.2999999523,3.4000000954,3.4000000954,4.3000001907,3.4000000954,0,3.4000000954,6.8000001907,3.4000000954,3,3.5999999046
1644843977, ,3.5,3.2999999523,3.2999999523,3.4000000954,3.4000000954,4.3000001907,3.5,0,3.4000000954,5.5,3.5,2.9000000954,3.4000000954
1644843978, ,3.2999999523,3.4000000954,3.5,3.5999999046,3.2999999523,4.0999999046,3.5,0,3.4000000954,5.5,3.5,2.9000000954,3.4000000954
1644843979, ,3.2999999523,3.4000000954,3.5,3.5999999046,3.2999999523,4.0999999046,3.5,0,3.4000000954,5.5,3.5,2.9000000954,3.4000000954
1644843980, ,3.2999999523,3.4000000954,3.5,3.5999999046,3.2999999523,4.0999999046,3.5,0,3.7000000477,5.3000001907,3.5,2.9000000954,3.2999999523
1644843981, ,3.2999999523,3.4000000954,3.5,3.5999999046,3.2999999523,4.0999999046,3.5,0,3.7000000477,5.3000001907,3.5,2.9000000954,3.2999999523
1644843982, ,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.5999999046,3.4000000954,0,3.7000000477,5.3000001907,3.5,2.9000000954,3.2999999523
1644843983, ,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.5999999046,3.4000000954,0,3.7000000477,5.3000001907,3.5,2.9000000954,3.2999999523
1644843984, ,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.5999999046,3.4000000954,0,3.4000000954,5.9000000954,3.4000000954,3.0999999046,3.4000000954
1644843985, ,3.4000000954,3.5,3.0999999046,3.9000000954,3.5,3.5,3.5,0,3.4000000954,5.9000000954,3.4000000954,3.0999999046,3.4000000954
1644843986, ,3.4000000954,3.5,3.0999999046,3.9000000954,3.5,3.5,3.5,0,3.2999999523,7.3000001907,3.7000000477,2.9000000954,3.5
1644843987, ,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.5,0,3.2999999523,7.3000001907,3.7000000477,2.9000000954,3.5
1644843988, ,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.5,0,3.2999999523,7.3000001907,3.7000000477,2.9000000954,3.5
1644843989, ,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.5,0,3.2999999523,7.3000001907,3.7000000477,2.9000000954,3.5
1644843990, ,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.5,0,3.2999999523,5.8000001907,3.4000000954,2.9000000954,3.2999999523
1644843991, ,3.2999999523,3.5999999046,3.2999999523,3.5999999046,3.2999999523,3.5999999046,3.4000000954,0,3.2999999523,5.8000001907,3.4000000954,2.9000000954,3.2999999523
