Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645952943,7280,13.7000000477,3.5,3.2000000477,3.5,3.5
1645952944,7281,13.7999999523,3.2999999523,3.5,3.5999999046,3.4000000954
1645952945,7282,13.7999999523,3.2999999523,3.5,3.5999999046,3.4000000954
1645952946,7283,14.2999999523,3.7999999523,3.5,3.5999999046,3.4000000954
1645952947,7284,14.1000001431,3.7999999523,3.5,3.4000000954,3.4000000954
1645952948,7285,14.1000001431,3.7999999523,3.5,3.4000000954,3.4000000954
1645952949,7286,13.6000003816,3.4000000954,3.4000000954,3.4000000954,3.4000000954
1645952950,7287,13.6000003816,3.4000000954,3.4000000954,3.4000000954,3.4000000954
1645952951,7288,13.6000001431,3.4000000954,3.4000000954,3.2999999523,3.5
1645952952,7289,13.6000001431,3.4000000954,3.4000000954,3.2999999523,3.5
1645952953,7290,13.7999997138,3.2999999523,3.5999999046,3.2999999523,3.5999999046
1645952954,7291,13.7999997138,3.2999999523,3.5999999046,3.2999999523,3.5999999046
1645952955,7292,13.7999997138,3.2999999523,3.5999999046,3.2999999523,3.5999999046
1645952956,7293,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952957,7294,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952958,7295,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952959,7296,14.1000001431,3.4000000954,3.4000000954,3.5999999046,3.7000000477
1645952960,7297,14.1000001431,3.4000000954,3.4000000954,3.5999999046,3.7000000477
1645952961,7298,13.7000002862,3.4000000954,3.4000000954,3.4000000954,3.5
1645952962,7299,13.7000002862,3.4000000954,3.4000000954,3.4000000954,3.5
1645952963,7300,13.7000002862,3.4000000954,3.4000000954,3.4000000954,3.5
1645952964,7301,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952965,7302,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952966,7303,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952967,7304,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952968,7305,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952969,7306,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952970,7307,13.5000002385,3.4000000954,3.2999999523,3.4000000954,3.4000000954
1645952971,7308,13.6000001431,3.4000000954,3.2999999523,3.4000000954,3.5
1645952972,7309,13.6000001431,3.4000000954,3.2999999523,3.4000000954,3.5
1645952973,7310,14.0000002385,3.4000000954,3.4000000954,3.7000000477,3.5
1645952974,7311,14.0000002385,3.4000000954,3.4000000954,3.7000000477,3.5
1645952975,7312,14.0000002385,3.4000000954,3.4000000954,3.7000000477,3.5
1645952976,7313,13.8999998569,3.2999999523,3.5999999046,3.5,3.5
1645952977,7314,13.8999998569,3.2999999523,3.5999999046,3.5,3.5
1645952978,7315,13.8999998569,3.2999999523,3.5999999046,3.5,3.5
1645952979,7316,14.0000002385,3.7000000477,3.5,3.4000000954,3.4000000954
1645952980,7317,14.0000002385,3.7000000477,3.5,3.4000000954,3.4000000954
