timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646029587,3.5,3.2999999523,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,3.2999999523,3.5,3.2999999523,3.2000000477,3.5,41
1646029588,3.5,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.2999999523,3.2000000477,3.5,41.0999999046
1646029589,3.5,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.7999999523,3.2999999523,3.2000000477,3.5,41.5999996661
1646029590,3.2999999523,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.7999999523,3.2999999523,3.2000000477,3.5,41.3999996184
1646029591,3.2999999523,3.5,3.2000000477,3.4000000954,4,3.2999999523,3.5999999046,3.2999999523,3.7999999523,3.2999999523,3.2000000477,3.4000000954,41.2999999523
1646029592,3.2999999523,3.5,3.2000000477,3.4000000954,4,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.4000000954,41
1646029593,3.2999999523,3.5,3.2000000477,3.4000000954,4,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.4000000954,41
1646029594,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.5999999046,40.8999998569
1646029595,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.5999999046,40.8999998569
1646029596,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.5999999046,41.0000002385
1646029597,3.4000000954,3.4000000954,3.7000000477,3.4000000954,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.2999999523,41.2000002862
1646029598,3.4000000954,3.4000000954,3.7000000477,3.4000000954,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.2999999523,41.2000002862
1646029599,3.2999999523,3.5,3.5999999046,3.5,3.2999999523,3.5999999046,3.2000000477,3.4000000954,3.4000000954,3.4000000954,3.2000000477,3.4000000954,40.8000001908
1646029600,3.2999999523,3.5,3.5999999046,3.5,3.2999999523,3.5999999046,3.2000000477,3.4000000954,3.4000000954,3.4000000954,3.2000000477,3.4000000954,40.8000001908
1646029601,3.2999999523,3.5,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.5,41.1999998092
1646029602,3.2999999523,3.5,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.5,41.1999998092
1646029603,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.2999999523,3.5,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.5,41.2999999523
1646029604,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.2000000477,3.7999999523,3.2999999523,3.2999999523,3.5999999046,41.2999999523
1646029605,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.2000000477,3.7999999523,3.2999999523,3.2999999523,3.5999999046,41.2999999523
1646029606,3.5,3.4000000954,3.7000000477,3.5,3.4000000954,3.5,3.2999999523,3.4000000954,3.7999999523,3.2999999523,3.2999999523,3.5999999046,41.7000000477
1646029607,3.5,3.4000000954,3.7000000477,3.5,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,41.4000003339
1646029608,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,41.3000001908
1646029609,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.2000000477,3.5,41.3000004293
1646029610,3.2999999523,3.5,3.5999999046,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.5,41.3000001908
1646029611,3.2999999523,3.5,3.5999999046,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.5,41.3000001908
1646029612,3.2999999523,3.5999999046,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.5,40.8999998569
1646029613,3.2999999523,3.5999999046,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.7999999523,3.4000000954,3.2000000477,3.5,41.1999995707
1646029614,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.5999999046,3.2999999523,3.7999999523,3.4000000954,3.4000000954,3.5999999046,41.5
1646029615,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.5999999046,3.2999999523,3.7999999523,3.4000000954,3.4000000954,3.5999999046,41.5
1646029616,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.5,3.2000000477,3.5999999046,3.2999999523,3.2999999523,3.5999999046,40.8999998569
1646029617,3.5,3.5,3.5999999046,3.5999999046,3.2999999523,3.5,3.5,3.2000000477,3.5999999046,3.2999999523,3.2999999523,3.5,41.3999996184
